algorithm,runs,auc,final_gap,igd,recall,hits,mean_parallel_seconds,mean_overrides
fast_v10,144,0.11414802682687042,0.004346062389892672,0.0022537160216109875,0.8668501421496732,34,0.7585717848958353,0.0
guarded_linear,144,0.09543791441206001,0.00205502088732232,0.0010820464708668777,0.9104610511406049,59,1.817358616979173,96.32638888888889
no_uncertainty_linear,144,0.09584185940655698,0.0020970524252085523,0.000940467926400476,0.923026818135173,61,1.8102666681944362,81.94444444444444
nsga2_guarded,144,0.11571534672161674,0.0012841080495250212,0.0008125806457353323,0.9266878556090278,62,1.492520691708353,139.14583333333334
nsga2_typed,144,0.14193217164162583,0.004500086353499059,0.002513075566916045,0.8576576081829841,32,0.5872010238749965,0.0
random_residual,144,0.11468054458155054,0.004131073096203444,0.0021166611231926836,0.8727342270342296,41,1.3773841631041535,473.22222222222223
raw_linear,144,0.1080369417705671,0.003565993170466097,0.0018903993060489085,0.8842201106772527,40,1.5679204336805508,63.375
scalar_linear,144,0.10415634897998655,0.0020380964283482467,0.0010870872480157562,0.9160356619874249,50,1.82351189573611,451.0486111111111
unguarded_linear,144,0.0954944800287755,0.002387173061157851,0.001112277261376137,0.9093036437331974,58,1.785106404847211,96.15972222222223
