algorithm,pairs,median_ratio,mean_ratio,min_ratio,max_ratio
fast_v10,12,1.0,1.0,1.0,1.0
guarded_linear,12,2.0590801121983615,2.155038981433533,1.8602033970198935,2.8472880518343864
no_uncertainty_linear,12,2.134304458788831,2.216395812807613,1.9431535998253726,3.188313260301057
nsga2_guarded,12,1.8042022429041615,1.7460830507638967,1.305946333693389,2.051222479624959
nsga2_typed,12,0.6920675544691672,0.7455195748223398,0.5217586386983089,0.9803524066251579
