kind,algorithm,auc,final_gap,igd
job,fast_v10,0.11500479514561279,0.00797458242348811,0.004391076963702125
job,guarded_linear,0.09495197046362676,0.0029007983654818596,0.0018657446529991432
job,no_uncertainty_linear,0.09504706080975338,0.0030825208299756226,0.0017906647518522298
job,nsga2_guarded,0.11538410960908367,0.0019472879537327592,0.0013882773245196226
job,nsga2_typed,0.14506314746295632,0.008633836173774641,0.00478965238162819
job,random_residual,0.11368898172724036,0.008041692031995768,0.004323160257942539
job,raw_linear,0.10808693879834767,0.006772641250670353,0.0037800825539190124
job,scalar_linear,0.10265170623103655,0.003247752143163323,0.0017207466436128162
job,unguarded_linear,0.09495197046362676,0.0029007983654818596,0.0018657446529991432
rgv,fast_v10,0.10730647402336624,0.0026178818589527916,0.000841045933893927
rgv,guarded_linear,0.09315411525861284,0.002521145568948146,0.0009507552211219833
rgv,no_uncertainty_linear,0.09351795914612034,0.002565937204153129,0.0006236164726817
rgv,nsga2_guarded,0.11001117242548214,0.0009509575653439333,0.00048438585199423123
rgv,nsga2_typed,0.1250493174452457,0.001618251697756894,0.0007005120331062104
rgv,random_residual,0.10585696477537604,0.0019558958255989477,0.0005672805127033563
rgv,raw_linear,0.10088852795047205,0.0021436171454013585,0.0007814348352232959
rgv,scalar_linear,0.09813345577120924,0.001325173045760848,0.0006712319454762688
rgv,unguarded_linear,0.09332381210875924,0.0035176020904547395,0.0010414475926497605
tour,fast_v10,0.12013281131163218,0.0024457228872371145,0.00152902516723691
tour,guarded_linear,0.09820765751394046,0.0007431187275369553,0.0004296395384795069
tour,no_uncertainty_linear,0.09896055826379724,0.0006426992414969047,0.0004071225546674982
tour,nsga2_guarded,0.12175075813028442,0.0009540786294983708,0.0005650787606921431
tour,nsga2_typed,0.15568405001667548,0.003248171188965641,0.0020490622860137356
tour,random_residual,0.12449568724203525,0.002395631431015617,0.0014595425989321548
tour,raw_linear,0.1151353585628816,0.0017817211153265799,0.0011096805290044176
tour,scalar_linear,0.1116838849377138,0.0015413640961205687,0.0008692831549581833
tour,unguarded_linear,0.09820765751394046,0.0007431187275369553,0.00042963953847950697
