task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,reference_kind
job_n16,job,stress,nsga2_typed,13906,2048,2048,2048,0.7905948790000821,2048,True,0,0,0,0,0,0.2538103210175516,0.05199503107955206,0.02216316270597191,0.24615384615384617,False,32,65,0.05146531201890838,0.05199503108752858,0.022163162713426443,pooled_observations_NOT_exact
job_n16,job,stress,fast_v10,13903,2048,2048,2048,0.6738515280001138,2048,True,0,0,0,0,0,0.30235494714328415,0.041358736846255156,0.020002347917259588,0.23076923076923078,False,32,65,0.04089319850066177,0.04135873685332499,0.02000234792413674,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13905,2048,2048,2048,3.0941187109999646,2048,True,0,0,197,31,13222,0.2274247385573772,0.026762652895912332,0.011345585462043034,0.26153846153846155,False,32,65,0.024567976577126963,0.02676265289947702,0.011345585464353651,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13903,2048,2048,2048,2.8191232980000223,2048,True,0,0,264,31,13902,0.30062385982636347,0.03918452736628115,0.01411878765841688,0.3384615384615385,False,32,65,0.03676220160427291,0.03918452737579279,0.01411878765968514,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13906,2048,2048,2048,3.126981259999866,2048,True,0,0,115,31,13511,0.23570159335641552,0.021733779950241377,0.007824965575107312,0.4307692307692308,False,32,65,0.021726005933549005,0.021733779936228523,0.00782496556833766,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13902,2048,2048,2048,2.9990453390000766,2048,True,0,0,131,31,14091,0.25307455331567724,0.04724791637092182,0.019558543388428017,0.3230769230769231,False,32,65,0.04548618052513442,0.04724791637131873,0.019558543391849967,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_typed,13904,2048,2048,2048,1.0462128799999846,2048,True,0,0,0,0,0,0.2694259044168319,0.023823488624159783,0.010579535356647353,0.3230769230769231,False,32,65,0.02289119333078102,0.02382348863793504,0.010579535357370565,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_typed,13905,2048,2048,2048,0.68391902999997,2046,True,0,0,0,0,0,0.2856517678494598,0.05613530124260515,0.025493945697619216,0.16923076923076924,False,32,65,0.05484748732320346,0.05613530123215116,0.025493945693871603,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13903,2048,2048,2048,3.091671586000075,2048,True,0,0,191,31,13987,0.30288292747287276,0.05920076657368353,0.02472877805121433,0.3076923076923077,False,32,65,0.05920076657368353,0.0592007665788704,0.024728778046875136,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_typed,13903,2048,2048,2048,0.6579102869998223,2048,True,0,0,0,0,0,0.35968515140296736,0.03832587119131149,0.014505376872261078,0.3384615384615385,False,32,65,0.03802474930664781,0.038325871200715275,0.014505376874136751,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13904,2048,2048,2048,3.1646080510001866,2048,True,0,0,242,31,14102,0.24258819787183286,0.01978367311286882,0.008079074789298186,0.38461538461538464,False,32,65,0.01818961831785386,0.019783673119233215,0.008079074785608467,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13906,2048,2048,2048,3.301231074000043,2048,True,0,0,262,31,13749,0.20201712826956209,0.013005380260029765,0.008202113841654417,0.3230769230769231,False,32,65,0.009513208282151304,0.013005380277048529,0.008202113843785133,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13902,2048,2048,2048,2.884193431000085,2047,True,0,0,271,31,13784,0.30129334649518025,0.0065963480810193684,0.0044702132910419854,0.4461538461538462,False,32,65,0.004952217641790266,0.006596348084315369,0.004470213289650227,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_typed,13902,2048,2048,2048,0.6611517430001186,2048,True,0,0,0,0,0,0.36004648595892097,0.04583433885902524,0.01849939014461472,0.2923076923076923,False,32,65,0.04516784102368601,0.045834338882792466,0.01849939014883804,pooled_observations_NOT_exact
job_n16,job,stress,nsga2_guarded,13901,2048,2048,2048,2.7715926460000446,2048,True,0,0,262,31,14007,0.26961563260690097,0.016546980883136844,0.006141265145419603,0.4461538461538462,False,32,65,0.014136724651192527,0.01654698087987991,0.006141265139943346,pooled_observations_NOT_exact
job_n16,job,stress,no_uncertainty_linear,13905,2048,2048,2048,3.2277609590000798,2048,True,0,0,141,31,13114,0.25252043077869263,0.023980208960943467,0.009831936894740843,0.35384615384615387,False,32,65,0.023419887852753955,0.02398020897795557,0.009831936898552673,pooled_observations_NOT_exact
