algorithm,runs,auc,final_gap,hits
fast_v10,24,0.10747349499225596,0.00025416543972944165,20
guarded_linear,24,0.09307776198523841,0.0,24
no_uncertainty_linear,24,0.09080699827004536,2.8386352063041666e-05,23
nsga2_guarded,24,0.10820070319201612,0.0002675122690535833,19
nsga2_typed,24,0.13164495058771472,0.0002601599459385625,22
