task,fast_v10,guarded_linear,no_uncertainty_linear,nsga2_guarded,nsga2_typed,random_residual,raw_linear,scalar_linear,unguarded_linear
job_h1,0.0,4.3253879899513015,4.238511787138455,-38.35334974991338,-61.19964396957913,-0.43222341349153925,0.6112381307557757,0.9972805804431051,4.3253879899513015
job_h2,0.0,19.772825823666086,22.020743729035818,15.021940946720436,-10.331782904210263,1.3282538094570584,10.078994632348392,11.59037039070887,19.772825823666086
job_h3,0.0,16.324687059272446,12.876089509331024,-5.139866852578279,-34.340283144183935,0.9536957033279614,-0.16997647723973053,7.660932798464515,16.324687059272446
job_h4,0.0,23.639599994539374,23.656576745829227,10.484716857681908,-15.12757291156801,2.0229806147428087,9.572316372041211,17.780377389905354,23.639599994539374
rgv_h1,0.0,16.026554982611906,15.18061585133561,-9.69271950371029,-25.297663332379173,3.6078932132164843,10.51887108467271,8.513838336189005,16.026554982611906
rgv_h2,0.0,11.392363842645858,11.452704046520712,-0.06907324825728978,-14.938028676146864,-4.434828135980506,1.9008001776543049,10.164346077887032,11.392363842645858
rgv_h3,0.0,20.98153325553539,20.221669893018746,-7.875182536401315,-25.675972552298344,4.396352314058516,9.534476002730974,11.770128414135472,20.98153325553539
rgv_h4,0.0,3.620534123279262,3.807148413395156,7.360390709768872,-0.13478288632096103,1.5885768183191318,2.0107412778125777,3.3286986042904476,2.991597486030817
tour_h1,0.0,17.073033620738297,18.065827116067577,-5.680357419530058,-32.23536121616392,-2.9961822092283708,5.641376744268589,6.404994966002819,17.073033620738297
tour_h2,0.0,24.301317844243343,23.341797936760933,5.255917449801406,-24.565243580418716,1.1167907082213602,7.646009603140069,14.048906396011906,24.301317844243343
tour_h3,0.0,13.78136386151052,11.839343435659021,-7.666673364866816,-35.0728988632824,-3.611023866531471,5.696821534827478,5.022380546859684,13.78136386151052
tour_h4,0.0,16.555076356928744,15.741023513128116,0.8522051309561851,-28.03257025065351,-9.202513820041247,-2.08716386760186,1.8935180878690394,16.555076356928744
