task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,model_fits,surrogate_predictions,stage,overrides
job_dev,job,development,residual_no_gate,13103,512,512,512,1.3145453670000506,511,True,0.0848735018178585,0.001446509958053,0.000535492571875,0.90625,False,29.0,32.0,0.001446509958053,0.0014465099564024,0.0005354925699389,0,0,7,2662,dev2,35.0
rgv_g1,rgv,development,nsga2_typed,13102,512,512,512,0.232009435000009,507,True,0.1655124043360439,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,0.0
tour_dev,tour,development,residual_no_gate,13102,512,512,512,1.037552323999989,508,True,0.1122719181665196,0.0005755052953022,0.0009976874272603,0.8571428571428571,False,25.0,28.0,0.0005755052953022,0.0005755052982549,0.0009976874297627,0,0,7,2934,dev2,41.0
tour_dev,tour,development,nsga2_typed,13104,512,512,512,0.2127867719999585,511,True,0.134954905851356,0.0133421478320554,0.0065894429458214,0.6785714285714286,False,21.0,28.0,0.0133421478320554,0.013342147835924,0.0065894429499865,0,0,0,0,dev2,0.0
rgv_dev,rgv,development,residual_random,13101,512,512,512,1.2914715900000149,491,True,0.1778966672287497,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev2,187.0
tour_dev,tour,development,residual_off,13103,512,512,512,0.2643892329999744,504,True,0.1123073345099684,0.0124632001979102,0.0061685035142857,0.7142857142857143,False,21.0,28.0,0.0124632001979102,0.0124632002055349,0.0061685035193116,0,0,0,0,dev2,0.0
job_dev,job,development,residual_trees,13103,512,512,512,1.6527736450000248,507,True,0.1068013871433679,0.0016048352222389,0.00066839571875,0.875,False,28.0,32.0,0.0016048352222389,0.0016048352207557,0.0006683957179237,0,0,7,2617,dev2,31.0
rgv_dev,rgv,development,residual,13101,512,512,512,1.8377048429999832,487,True,0.1841821153105498,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1957,dev2,55.0
rgv_dev,rgv,development,fast_v10,13102,512,512,512,0.3233416100000568,506,True,0.192459048577584,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,nsga2_typed,13101,512,512,512,0.1908222030000388,508,True,0.1464928819708684,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev2,0.0
job_dev,job,development,residual_scalar,13101,512,512,512,1.2078491650000842,512,True,0.0848367907565101,0.0014387782014984,0.000481176528125,0.9375,False,30.0,32.0,0.0014387782014984,0.0014387782000816,0.0004811765278807,0,0,7,2902,dev2,285.0
job_dev,job,development,fast_v10,13101,512,512,512,0.2499240449999433,507,True,0.0989721100270194,0.0060746932542655,0.0028207557867674,0.71875,False,27.0,32.0,0.0060746932542655,0.0060746932471574,0.0028207557801378,0,0,0,0,dev2,0.0
tour_dev,tour,development,residual_strict,13103,512,512,512,1.1523248190000004,509,True,0.0928235502486431,0.0030807353513759,0.0012687651094032,0.8214285714285714,False,24.0,28.0,0.0030807353513759,0.0030807353579608,0.0012687651122651,0,0,7,2809,dev2,38.0
rgv_dev,rgv,development,residual_trees,13103,512,512,512,2.503925736000042,494,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1921,dev2,0.0
job_dev,job,development,residual,13104,512,512,512,1.0716739399999824,508,True,0.0958900296229686,0.0014522792766092,0.0004919488375,0.90625,False,29.0,32.0,0.0014522792766092,0.001452279275904,0.000491948837818,0,0,7,2852,dev2,49.0
tour_dev,tour,development,residual_off,13104,512,512,512,0.3216122210000094,504,True,0.1335167247339855,0.0176840870129455,0.0091879615071428,0.6785714285714286,False,19.0,28.0,0.0176840870129455,0.0176840869963512,0.009187961495218,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,residual_strict,13103,512,512,512,1.78358837199994,508,True,0.0362565090634381,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2372,dev2,155.0
job_dev,job,development,nsga2_typed,13101,512,512,512,0.2729457750000392,504,True,0.122769557309842,0.0089007583457974,0.0050651799005926,0.65625,False,23.0,32.0,0.0089007583457974,0.0089007583353242,0.0050651798945871,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,residual_scalar,13104,512,512,512,1.5553263329999254,505,True,0.1487565234110777,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2808,dev2,274.0
job_dev,job,development,nsga2_typed,13104,512,512,512,0.2514618029999838,509,True,0.1565688183901724,0.0172454875520647,0.0090855574462209,0.65625,False,29.0,32.0,0.0172454875520647,0.0172454875491712,0.0090855574452974,0,0,0,0,dev2,0.0
rgv_g1,rgv,development,residual,13101,512,512,512,2.284180580999987,506,True,0.080798101881251,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2422,dev2,151.0
rgv_g1,rgv,development,residual_trees,13102,512,512,512,2.046250650999923,507,True,0.0907058856701113,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2556,dev2,24.0
rgv_dev,rgv,development,residual_scalar,13102,512,512,512,2.846672159000036,490,True,0.1899633559455618,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,7,1687,dev2,130.0
