algorithm,runs,auc,final_gap,igd
fast_v10,24,0.24465209054249562,0.041001588612910735,0.020230024496734927
no_uncertainty_linear,24,0.2100628221054632,0.018687428949978612,0.009036019683276305
nsga2_guarded,24,0.23898316566064767,0.011277912940524456,0.005833757712319163
nsga2_typed,24,0.2893624502477766,0.029754180764534347,0.01582765026959617
