task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
rgv_new3,rgv,fast_v10_codec,74511,1024,1024,1024,0.6047765030000392,0.1001927693943244,0.0056428859345127305,0.0050000000000000044,0.75,False,5,4,0.0056428859345127305,0.00564288593309141,0.0050000000000000044,0,0,0,0,0,0,0,1004
rgv_new3,rgv,fast_v10_codec,74512,1024,1024,1024,0.7399590640000042,0.03787042391502265,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,984
job_new1,job,fast_v10_codec,74506,1024,1024,1024,0.8269724330000372,0.1220463171099306,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,959
tour_new2,tour,fast_v10_codec,74506,1024,1024,1024,0.6529130929998246,0.12138608501907291,0.0002601273556582514,0.00012142490588235294,0.9411764705882353,False,16,17,0.0002601273556582514,0.00026012735681667996,0.00011467907825612646,0,0,0,0,0,0,0,963
job_new3,job,fast_v10_codec,74506,1024,1024,1024,0.5885522089999995,0.1624081093605614,0.002648537767273427,0.001715738665285916,0.7142857142857143,False,17,21,0.002648537767273427,0.002648537771578241,0.0017157386652600468,0,0,0,0,0,0,0,983
tour_new2,tour,fast_v10_codec,74507,1024,1024,1024,0.6946740859998499,0.10982766102234798,0.0,0.0,1.0,True,17,17,0.0,0.0,3.0839528461809902e-18,0,0,0,0,0,0,0,980
job_new1,job,fast_v10_codec,74505,1024,1024,1024,0.8110544520000076,0.1208375681865537,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,960
job_new1,job,fast_v10_codec,74511,1024,1024,1024,0.7749964629999795,0.05731075915535851,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,964
job_new3,job,fast_v10_codec,74508,1024,1024,1024,0.7883343029998287,0.12727329202274407,0.015083443762131894,0.0060981127936613885,0.7619047619047619,False,17,21,0.015083443762131894,0.015083443747381088,0.006098112786910962,0,0,0,0,0,0,0,973
job_new2,job,fast_v10_codec,74508,1024,1024,1024,0.7629198750000796,0.10483427508747474,0.00046742377871059727,0.00039502307857142583,0.9285714285714286,False,26,28,0.00046742377871059727,0.0004674237745631528,0.0003950230794897601,0,0,0,0,0,0,0,984
