algorithm,auc,final_gap,seconds,improvement_vs_h0_pct,final_guard
bounded24,0.11538745022328657,0.003052862420173556,1.039338845437502,-0.37930351115817995,True
dual24,0.11208719576764685,0.006293931416319606,0.7786410457499926,2.4916953975243072,False
dual24_refit32,0.11113284603422467,0.004702525725858831,0.8745171452499889,3.321915333588421,False
dual48,0.11438741192808936,0.004135524822168142,0.7812867753749799,0.4906623938178756,False
fast_h0,0.11495143539271527,0.0030080863874505873,1.1980108138125019,0.0,True
fast_v10,0.12627564731311297,0.006133245377959168,0.7521430161250038,-9.851301013954416,False
local24,0.11485977093111362,0.0023134714106042248,0.6851619375000055,0.07974190255953806,True
local24_refit128,0.1143471515210538,0.0047144903631298266,0.5973540057500131,0.5256862340143997,False
local24_refit32,0.11321054984139026,0.004571116464520602,1.047330544812496,1.5144530778389398,False
local48,0.11440514806911214,0.0060597839795890115,0.8560376397499994,0.4752331467082649,False
local_all,0.1144984780556699,0.006665942375679616,0.779918399687503,0.3940423497087342,False
nsga2_typed,0.1730235595339833,0.009101096556160237,0.5466962933125075,-50.51883340375252,False
pool4,0.1204475646308128,0.004088606406274569,0.9176074415000031,-4.781261947117743,False
refit32,0.11273987941790105,0.002857226225553144,1.3597372492500028,1.9239046187276898,True
