task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
job_new4,fast_h0,74511,10896,1435,41,721,0,0,0,4.843832020997375,8.0
job_new4,h0,74507,0,0,0,0,0,0,0,,
tour_new1,local24,74503,17386,1512,47,706,45,708,29142,13.622841965471448,25.0
tour_new1,local24,74501,17533,1335,39,743,40,742,29762,13.07928388746803,25.0
rgv_new3,h0,74510,0,0,0,0,0,0,0,,
job_new3,h0,74504,0,0,0,0,0,0,0,,
rgv_new4,h0,74510,0,0,0,0,0,0,0,,
tour_new2,local24,74507,16323,1278,30,734,29,735,34189,11.729057591623036,25.0
rgv_new1,h0,74511,0,0,0,0,0,0,0,,
tour_new2,refit32,74512,19070,1242,19,746,0,0,0,4.590849673202614,8.0
rgv_new2,local24,74503,15821,2212,17,757,55,719,34044,12.135658914728682,25.0
tour_new1,fast_h0,74512,11360,1595,43,718,0,0,0,5.670170827858081,8.0
tour_new4,refit32,74511,19177,1473,46,726,0,0,0,4.987046632124352,8.0
tour_new4,fast_h0,74502,11090,1526,39,725,0,0,0,5.204188481675392,8.0
job_new3,refit32,74505,19714,1549,39,753,0,0,0,5.63510101010101,8.0
rgv_new4,local24,74505,14244,2344,14,756,63,707,33783,10.322077922077922,25.0
rgv_new3,refit32,74507,18665,1879,11,758,0,0,0,4.868660598179454,8.0
job_new3,h0,74501,0,0,0,0,0,0,0,,
rgv_new2,fast_h0,74508,10471,1891,13,765,0,0,0,4.784061696658098,8.0
job_new1,h0,74505,0,0,0,0,0,0,0,,
rgv_new2,local24,74511,14263,2274,11,749,57,703,32934,10.39078947368421,25.0
job_new1,local24,74512,14329,1114,23,745,27,741,25674,8.858072916666666,25.0
tour_new1,h0,74506,0,0,0,0,0,0,0,,
job_new4,local24,74508,14195,1136,32,718,32,718,23622,8.921333333333333,25.0
job_new2,refit32,74509,19276,1708,49,716,0,0,0,5.469281045751634,8.0
tour_new4,h0,74507,0,0,0,0,0,0,0,,
tour_new4,refit32,74506,19021,1489,37,750,0,0,0,4.714104193138501,8.0
job_new1,h0,74507,0,0,0,0,0,0,0,,
rgv_new1,h0,74501,0,0,0,0,0,0,0,,
job_new2,local24,74505,18242,1857,57,696,55,698,31032,15.217795484727755,25.0
tour_new2,refit32,74506,19237,1306,25,744,0,0,0,4.8673602080624185,8.0
tour_new2,local24,74510,15935,1695,47,700,47,700,32126,12.034805890227577,25.0
job_new3,refit32,74510,19529,1406,31,757,0,0,0,5.24746192893401,8.0
tour_new2,local24,74511,16484,1280,29,731,28,732,32946,12.005263157894737,25.0
job_new3,fast_h0,74501,11082,1695,43,713,0,0,0,5.472222222222222,8.0
job_new1,fast_h0,74506,10735,1206,27,727,0,0,0,4.377984084880636,8.0
tour_new1,refit32,74505,19615,1570,43,709,0,0,0,5.8311170212765955,8.0
job_new4,local24,74503,15384,1382,45,742,45,742,26107,10.32528589580686,25.0
job_new3,local24,74501,16365,1570,42,706,44,704,28495,12.426470588235293,25.0
tour_new3,refit32,74503,18730,1169,27,763,0,0,0,3.9227848101265823,8.0
job_new4,refit32,74501,18842,1335,33,744,0,0,0,4.346203346203346,8.0
rgv_new2,fast_h0,74501,10372,2006,12,742,0,0,0,4.957559681697613,8.0
rgv_new2,h0,74503,0,0,0,0,0,0,0,,
tour_new2,h0,74510,0,0,0,0,0,0,0,,
tour_new4,local24,74501,16413,1371,37,727,38,726,27668,11.968586387434556,25.0
rgv_new1,local24,74505,16971,2508,18,751,55,714,40140,14.094928478543563,25.0
tour_new3,h0,74506,0,0,0,0,0,0,0,,
