algorithm,auc,final_gap,igd,recall,seconds,extra_pure_proposals,neighbor_builds,neighbor_filter_checks,predictions,overrides,runs,front_hits
fast_h0,0.09494291113222353,0.0015106178269666973,0.0005159023028046988,0.9586133215312157,3.2225120266319514,37310.77777777778,0.0,0.0,4812.194444444444,83.41666666666667,144,86
fast_v10,0.10989762404576443,0.0027803965699068536,0.001113375252597762,0.9220723220197341,2.5358709618819324,0.0,0.0,0.0,0.0,0.0,144,61
h0,0.09494291113222353,0.0015106178269666973,0.0005159023028046988,0.9586133215312157,5.735360283125005,37310.77777777778,0.0,0.0,4812.194444444444,83.41666666666667,144,86
local24,0.09178712255521615,0.0011337981828849848,0.0004270272165611464,0.9581583888035502,1.9652154552152794,0.0,44.451388888888886,31227.729166666668,9980.020833333334,74.02777777777779,144,90
local24_random,0.10861403920491562,0.0024071057584160124,0.0010765447642081844,0.9233133426215233,0.9982540280208517,0.0,47.25,30177.6875,0.0,429.5555555555556,144,61
nsga2_typed,0.14253351505362005,0.004626678003774182,0.00284249247127529,0.8638413514811697,1.976581893569436,0.0,0.0,0.0,0.0,0.0,144,32
nsga_local24,0.11253483169822608,0.0022156723152506083,0.0015319934901029605,0.9257278121114508,1.692038594784721,0.0,84.96527777777779,31863.79861111111,12386.680555555555,122.3263888888889,144,73
refit32,0.09311511849455972,0.001336929349979194,0.0004877922057456982,0.9605292699517083,4.118934791076395,37241.284722222226,0.0,0.0,4817.451388888889,81.95833333333333,144,86
