algorithm,auc,final_gap,igd,front_hits,runs
fast_h0,0.0751125624631319,0.0,0.0,12,12
fast_v10,0.08045163098428075,0.0001505193917776,5.1466803333325e-05,11,12
h0,0.0751125624631319,0.0,0.0,12,12
local24,0.07693838160851803,0.00045155818020711666,0.00015440041166665,10,12
nsga2_typed,0.1088730642395629,0.00036025287377715185,0.00019062990833333335,9,12
