stage,task,algorithm,seed,fe
dev2,rgv_dev,fast_h0,74104,512
dev2,rgv_g1,fast_h0,74102,512
dev2,job_dev,fast_v10,74101,512
dev2,job_dev,fast_v10,74104,512
dev2,rgv_g1,local24_refit128,74103,512
dev2,tour_dev,dual48,74104,512
dev2,tour_dev,fast_v10,74103,512
dev2,job_dev,local24_refit128,74101,512
dev2,rgv_dev,dual24_refit32,74101,512
dev2,tour_dev,local24,74103,512
dev2,rgv_g1,fast_v10,74104,512
dev2,rgv_dev,fast_v10,74103,512
dev2,rgv_dev,dual24,74101,512
dev2,job_dev,fast_h0,74104,512
dev2,rgv_dev,local24,74101,512
dev2,job_dev,local24,74102,512
dev2,job_dev,local24_refit128,74103,512
dev2,job_dev,dual24,74102,512
dev2,rgv_dev,fast_h0,74102,512
dev2,rgv_dev,local24,74104,512
dev2,job_dev,dual24_refit32,74101,512
dev2,job_dev,dual24,74103,512
dev2,rgv_g1,local24,74101,512
dev2,rgv_dev,dual24,74104,512
dev2,job_dev,fast_h0,74101,512
dev2,tour_dev,fast_h0,74104,512
dev2,rgv_dev,dual48,74104,512
dev2,tour_dev,nsga2_typed,74104,512
dev2,rgv_g1,local24,74102,512
dev2,tour_dev,fast_v10,74102,512
dev2,job_dev,fast_h0,74103,512
dev2,tour_dev,dual24,74104,512
dev2,rgv_g1,dual24,74103,512
dev2,rgv_dev,local24,74103,512
dev2,job_dev,local24,74103,512
dev2,job_dev,dual48,74101,512
dev2,tour_dev,fast_v10,74104,512
dev2,tour_dev,dual48,74101,512
dev2,rgv_dev,dual24_refit32,74103,512
dev2,rgv_g1,dual24,74101,512
dev2,job_dev,dual24_refit32,74104,512
dev2,rgv_g1,nsga2_typed,74104,512
dev2,tour_dev,local24_refit128,74103,512
dev2,rgv_dev,dual24_refit32,74102,512
dev2,job_dev,local24,74101,512
dev2,tour_dev,local24,74101,512
dev2,rgv_g1,fast_h0,74101,512
dev2,rgv_dev,local24_refit128,74101,512
dev2,rgv_dev,local24,74102,512
dev2,tour_dev,local24_refit128,74104,512
dev2,rgv_dev,nsga2_typed,74103,512
dev2,rgv_g1,local24,74103,512
dev2,job_dev,local24_refit128,74104,512
dev2,rgv_dev,dual48,74101,512
dev2,rgv_dev,fast_h0,74101,512
dev2,job_dev,dual24_refit32,74103,512
dev2,job_dev,nsga2_typed,74102,512
dev2,job_dev,dual24,74104,512
dev2,tour_dev,dual24_refit32,74104,512
dev2,tour_dev,nsga2_typed,74103,512
dev2,job_dev,fast_v10,74103,512
dev2,tour_dev,local24_refit128,74102,512
dev2,tour_dev,dual24_refit32,74103,512
dev2,rgv_g1,fast_v10,74103,512
dev2,rgv_dev,local24_refit128,74103,512
dev2,rgv_dev,fast_v10,74104,512
dev2,job_dev,dual24,74101,512
dev2,tour_dev,local24_refit128,74101,512
dev2,job_dev,nsga2_typed,74104,512
dev2,rgv_g1,dual48,74103,512
dev2,rgv_g1,local24_refit128,74104,512
dev2,tour_dev,fast_h0,74103,512
dev2,job_dev,local24,74104,512
dev2,tour_dev,fast_h0,74102,512
dev2,rgv_dev,dual24,74102,512
dev2,rgv_g1,fast_h0,74103,512
dev2,rgv_g1,nsga2_typed,74103,512
dev2,tour_dev,dual48,74102,512
dev2,rgv_dev,nsga2_typed,74104,512
dev2,job_dev,fast_v10,74102,512
dev2,rgv_g1,local24,74104,512
dev2,job_dev,dual48,74102,512
dev2,job_dev,dual24_refit32,74102,512
dev2,rgv_g1,dual24,74102,512
dev2,rgv_dev,fast_h0,74103,512
dev2,rgv_g1,dual24_refit32,74102,512
dev2,rgv_dev,dual24,74103,512
dev2,rgv_dev,fast_v10,74101,512
dev2,rgv_g1,dual48,74101,512
dev2,rgv_dev,local24_refit128,74102,512
dev2,rgv_g1,nsga2_typed,74101,512
dev2,rgv_g1,fast_h0,74104,512
dev2,rgv_dev,dual48,74102,512
dev2,rgv_dev,local24_refit128,74104,512
dev2,rgv_dev,dual24_refit32,74104,512
dev2,tour_dev,fast_v10,74101,512
dev2,rgv_dev,nsga2_typed,74101,512
dev2,tour_dev,dual24_refit32,74101,512
dev2,tour_dev,dual24_refit32,74102,512
dev2,job_dev,nsga2_typed,74103,512
dev2,tour_dev,dual24,74102,512
dev2,rgv_dev,nsga2_typed,74102,512
dev2,tour_dev,dual24,74103,512
dev2,rgv_g1,dual48,74102,512
dev2,rgv_g1,local24_refit128,74101,512
dev2,job_dev,fast_h0,74102,512
dev2,rgv_dev,dual48,74103,512
dev2,job_dev,nsga2_typed,74101,512
dev2,rgv_dev,fast_v10,74102,512
dev2,rgv_g1,dual24_refit32,74103,512
dev2,rgv_g1,fast_v10,74101,512
dev2,rgv_g1,fast_v10,74102,512
dev2,tour_dev,nsga2_typed,74102,512
dev2,rgv_g1,local24_refit128,74102,512
dev2,tour_dev,local24,74104,512
dev2,job_dev,local24_refit128,74102,512
dev2,tour_dev,dual48,74103,512
dev2,rgv_g1,dual24_refit32,74101,512
dev2,rgv_g1,nsga2_typed,74102,512
dev2,job_dev,dual48,74104,512
dev2,tour_dev,local24,74102,512
dev2,rgv_g1,dual24,74104,512
dev2,job_dev,dual48,74103,512
dev2,tour_dev,fast_h0,74101,512
confirm,rgv_new2,nsga_local24,74502,1024
confirm,tour_new1,fast_v10,74510,1024
confirm,rgv_new2,fast_v10,74505,1024
confirm,tour_new2,local24,74504,1024
confirm,rgv_new1,nsga2_typed,74503,1024
confirm,rgv_new2,nsga2_typed,74505,1024
confirm,tour_new3,fast_h0,74501,1024
confirm,tour_new1,nsga2_typed,74502,1024
confirm,job_new4,nsga_local24,74503,1024
confirm,tour_new4,h0,74508,1024
confirm,rgv_new1,nsga_local24,74502,1024
confirm,rgv_new3,refit32,74509,1024
confirm,rgv_new1,local24,74506,1024
confirm,job_new1,fast_v10,74510,1024
confirm,rgv_new1,refit32,74508,1024
confirm,tour_new2,fast_h0,74507,1024
confirm,rgv_new2,h0,74506,1024
confirm,tour_new2,h0,74505,1024
confirm,tour_new2,nsga_local24,74507,1024
confirm,rgv_new3,nsga2_typed,74507,1024
confirm,rgv_new1,nsga_local24,74507,1024
confirm,rgv_new2,local24,74509,1024
confirm,job_new3,fast_v10,74503,1024
confirm,tour_new3,local24,74512,1024
confirm,rgv_new3,fast_h0,74511,1024
confirm,tour_new3,h0,74502,1024
confirm,tour_new3,fast_h0,74508,1024
confirm,job_new1,fast_v10,74503,1024
confirm,rgv_new4,local24,74504,1024
confirm,job_new3,fast_h0,74509,1024
confirm,job_new2,fast_h0,74504,1024
confirm,job_new3,local24,74509,1024
confirm,job_new2,nsga_local24,74507,1024
confirm,tour_new1,nsga2_typed,74503,1024
confirm,tour_new4,refit32,74503,1024
