algorithm,auc,final_gap,igd,recall,neighbor_builds,neighbor_filter_checks,predictions
fast_h0,0.09595385598400978,0.0013312857145455694,0.0004075635008279101,0.964480644408301,0.0,0.0,4838.819444444444
local24,0.09299519623928616,0.0009969606799723264,0.0003905118493314087,0.9585733486943164,44.02777777777777,31333.56944444444,9984.125
local7,0.09496821779778865,0.00145086190026463,0.0006344714904939136,0.9460866828810377,45.513888888888886,31185.583333333332,4880.805555555556
