algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
fast_h0,74506.5,10857.111111111111,1635.0833333333333,28.82638888888889,738.2986111111111,0.0,0.0,0.0,5.020575897317156,8.0
h0,74506.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
local24,74506.5,15959.1875,1700.8333333333333,27.82638888888889,739.2430555555555,44.451388888888886,722.6180555555555,31227.729166666668,11.76015529473675,25.0
refit32,74506.5,19031.534722222223,1625.9166666666667,28.208333333333332,738.4930555555555,0.0,0.0,0.0,5.031821405879313,8.0
