task,algorithm,auc,final_gap,igd,recall,neighbor_builds,neighbor_filter_checks,predictions
job_new1,fast_h0,0.10919037424292721,0.0,0.0,1.0,0.0,0.0,4186.166666666667
job_new1,local24,0.1042537980398024,0.0,0.0,1.0,30.833333333333332,25403.5,7916.333333333333
job_new1,local7,0.1064921656828134,0.0,0.0,1.0,30.166666666666668,25738.833333333332,4481.166666666667
job_new2,fast_h0,0.11054938987467744,0.00023373273412973333,6.825111666666666e-05,0.9761904761904763,0.0,0.0,5405.833333333333
job_new2,local24,0.10393211043912302,0.00023373273412973333,6.825111666666666e-05,0.9761904761904763,46.333333333333336,29968.0,11454.833333333334
job_new2,local7,0.1092751720783739,0.00037509792485135003,0.00014377121011903334,0.9761904761904763,48.666666666666664,30385.166666666668,5495.0
job_new3,fast_h0,0.1046454703537733,0.0058289686078069,0.0016383050976190334,0.8809523809523809,0.0,0.0,5045.5
job_new3,local24,0.10530052884322265,0.0069553739181128825,0.0022973365722221833,0.8253968253968255,39.5,31023.333333333332,11295.833333333334
job_new3,local7,0.10936177454610002,0.0053597209111779995,0.002084468822097533,0.8492063492063492,47.0,30546.833333333332,5354.333333333333
job_new4,fast_h0,0.11399951360966976,0.004586995312184716,0.0015744281152777334,0.9652777777777777,0.0,0.0,4506.333333333333
job_new4,local24,0.1100710406871881,0.0015439551411780834,0.00054918687291665,0.9861111111111112,37.666666666666664,25987.333333333332,9051.0
job_new4,local7,0.11568424412552232,0.0031327803937057,0.0011715062493055167,0.9652777777777778,40.833333333333336,25009.833333333332,4771.0
rgv_new1,fast_h0,0.09398338994360678,0.0028479539818689666,0.0008348018243521999,0.9333333333333332,0.0,0.0,5819.333333333333
rgv_new1,local24,0.09176968012044584,0.0,0.0,1.0,57.0,39189.5,12312.333333333334
rgv_new1,local7,0.09264893025371357,0.0028479539818689666,0.0008348018243521999,0.9333333333333332,55.833333333333336,39300.333333333336,5232.166666666667
rgv_new2,fast_h0,0.09975323534374884,0.00030041742742593333,7.95924861111e-05,0.9722222222222223,0.0,0.0,4682.166666666667
rgv_new2,local24,0.09964244031411489,0.0006008348548518667,0.0001591849722222,0.9444444444444445,60.0,33810.166666666664,9363.166666666666
rgv_new2,local7,0.09479394608875098,0.0009012522822778,0.00023877745833329996,0.9166666666666666,65.5,33829.833333333336,4429.0
rgv_new3,fast_h0,0.10557833739420237,0.0,0.0,1.0,0.0,0.0,4934.166666666667
rgv_new3,local24,0.1030326130780796,0.00013435442683946668,0.0008333333333333334,0.9583333333333334,53.666666666666664,37293.666666666664,9920.5
rgv_new3,local7,0.1055815502181165,0.002619911325787983,0.0025,0.875,49.333333333333336,37771.333333333336,4526.166666666667
rgv_new4,fast_h0,0.07855800540169641,0.0017542470420211832,0.0004938169404761667,0.9047619047619048,0.0,0.0,4877.833333333333
rgv_new4,local24,0.07879039054649634,0.0021950711015986,0.0005892331476190167,0.8571428571428571,65.33333333333333,34163.166666666664,9649.833333333334
rgv_new4,local7,0.07847629723747886,0.0017889159550476834,0.0004826029071648833,0.8809523809523809,66.16666666666667,34337.5,4792.833333333333
tour_new1,fast_h0,0.07415143493216214,0.00017944724438355,0.0001117327178571,0.9821428571428572,0.0,0.0,5344.666666666667
tour_new1,local24,0.07327047533948967,0.00017944724438355,0.0001117327178571,0.9821428571428572,42.333333333333336,30221.833333333332,11333.0
tour_new1,local7,0.07395507017134016,5.9815748127849996e-05,3.7244239285699997e-05,0.9940476190476191,44.166666666666664,29630.833333333332,5351.5
tour_new2,fast_h0,0.09434177364912298,7.656132666208333e-05,3.7605080392133336e-05,0.9803921568627451,0.0,0.0,4555.5
tour_new2,local24,0.08632208867394016,0.0,0.0,1.0,25.333333333333332,32429.333333333332,9297.333333333334
tour_new2,local7,0.09005360106420969,0.0,0.0,1.0,26.5,32526.166666666668,4752.666666666667
tour_new3,fast_h0,0.10290770481698867,0.0,0.0,1.0,0.0,0.0,3993.5
tour_new3,local24,0.09795281015178732,0.0,0.0,1.0,29.5,28494.166666666668,8102.5
tour_new3,local7,0.09890792519619986,0.0,0.0,1.0,29.666666666666668,28075.166666666668,4374.0
tour_new4,fast_h0,0.0637876422455415,0.00016710489806376667,5.222863118278817e-05,0.978494623655914,0.0,0.0,4714.833333333333
tour_new4,local24,0.06160437863774407,0.00012075873857373333,7.788345913975485e-05,0.9731182795698925,40.833333333333336,28018.833333333332,10112.833333333334
tour_new4,local7,0.06438793691084467,0.00032489428033022653,0.00012048517526879615,0.9623655913978495,42.333333333333336,27075.166666666668,5009.833333333333
