kind,algorithm,auc,final_gap,igd,recall,seconds,extra_pure_proposals,neighbor_builds,neighbor_filter_checks,predictions,overrides
job,fast_h0,0.10596669511855941,0.0030014500802027664,0.0009539762619333418,0.949404761904762,2.928267329729171,38435.291666666664,0.0,0.0,4725.354166666667,31.979166666666668
job,fast_v10,0.12468873457337855,0.005592257603624934,0.0021094738412115377,0.8991815476190476,2.624455055854161,0.0,0.0,0.0,0.0,0.0
job,h0,0.10596669511855941,0.0030014500802027664,0.0009539762619333418,0.949404761904762,5.8195802554999885,38435.291666666664,0.0,0.0,4725.354166666667,31.979166666666668
job,local24,0.10158410296016882,0.0022749741656025416,0.0008219717753472021,0.9464285714285714,1.8627557423541699,0.0,37.833333333333336,28003.75,9889.104166666668,34.58333333333333
job,local24_random,0.12433529935185456,0.004557366446827514,0.0019087093832916042,0.9066220238095237,0.9840901011041959,0.0,45.895833333333336,26830.354166666668,0.0,438.70833333333337
job,nsga2_typed,0.1525904222441088,0.0077290009238564095,0.0035067049756103497,0.8607142857142857,2.2526682713125057,0.0,0.0,0.0,0.0,0.0
job,nsga_local24,0.11851964390971503,0.0020308212064123667,0.0008213278283360806,0.9416170634920635,1.7674010172291734,0.0,76.72916666666666,27054.791666666664,10686.0,61.166666666666664
job,refit32,0.1028091999384129,0.0028544901315284556,0.0009615198682491354,0.9437003968253969,4.207469295208344,38873.3125,0.0,0.0,4696.541666666666,30.9375
rgv,fast_h0,0.09517693874710466,0.0013066401709404814,0.0004627431583697875,0.9468749999999999,3.472563448729185,33851.9375,0.0,0.0,5107.895833333333,186.35416666666666
rgv,fast_v10,0.10470835117934568,0.0012981104137540166,0.0005598530080344854,0.9395337301587302,2.214140788979165,0.0,0.0,0.0,0.0,0.0
rgv,h0,0.09517693874710466,0.0013066401709404814,0.0004627431583697875,0.9468749999999999,5.694147320166692,33851.9375,0.0,0.0,5107.895833333333,186.35416666666666
rgv,local24,0.09433896337508002,0.000991130727082652,0.0003916999282581104,0.9428075396825397,2.0160633682916633,0.0,60.5625,35853.66666666667,10310.645833333334,150.47916666666669
rgv,local24_random,0.10428878229154467,0.0016986548847152073,0.0007784768238397687,0.9253968253968254,0.9752878886458543,0.0,52.645833333333336,35665.8125,0.0,436.72916666666663
rgv,nsga2_typed,0.14085191643724962,0.004053726560588082,0.003801959253899723,0.8303571428571429,1.41858302604165,0.0,0.0,0.0,0.0,0.0
rgv,nsga_local24,0.1168791300779408,0.00447258481280465,0.0037060466042405336,0.8557539682539682,1.6668779444166664,0.0,105.70833333333333,40099.85416666667,15781.3125,241.52083333333334
rgv,refit32,0.09488045834908493,0.0010671266192409917,0.00045340615428327913,0.9510416666666667,3.976613265020828,33402.333333333336,0.0,0.0,5106.354166666666,183.5
tour,fast_h0,0.08368509953100653,0.00022376322975684374,0.000130987488110967,0.9795602026888854,3.266705301437497,39645.10416666667,0.0,0.0,4603.333333333333,31.916666666666664
tour,fast_v10,0.10029578638456907,0.0014508216923416097,0.0006707989085472629,0.9275016882814247,2.7690170408124715,0.0,0.0,0.0,0.0,0.0
tour,h0,0.08368509953100653,0.00022376322975684374,0.000130987488110967,0.9795602026888854,5.692353273708335,39645.10416666667,0.0,0.0,4603.333333333333,31.916666666666664
tour,local24,0.07943830133039959,0.00013528965596976042,6.740994607812683e-05,0.9852390552995393,2.016827255000005,0.0,34.95833333333333,29825.770833333332,9740.3125,37.020833333333336
tour,local24_random,0.09721803597134762,0.0009652959437053161,0.0005424480854931802,0.9379211786582206,1.035384094312505,0.0,43.208333333333336,28036.895833333336,0.0,413.22916666666663
tour,nsga2_typed,0.13415820647950175,0.0020973065268780557,0.0012188131843157977,0.9004526258720806,2.258494383354152,0.0,0.0,0.0,0.0,0.0
tour,nsga_local24,0.10220572110702239,0.00014361092653480782,6.860603773226768e-05,0.9798124045883209,1.641836822708323,0.0,72.45833333333334,28436.75,10692.729166666666,64.29166666666667
tour,refit32,0.08165569719618133,8.917129916813542e-05,4.8450594704680235e-05,0.9868457463630613,4.172721813000012,39448.20833333333,0.0,0.0,4649.458333333334,31.4375
