algorithm,auc,final_gap,igd,recall
fast_h0,0.22441702711917852,0.02181883986728469,0.008447848847452984,0.6520492748534388
fast_v10,0.2699711137337939,0.045154699638837864,0.019714265036378024,0.5325534952649461
h0,0.22441702711917852,0.02181883986728469,0.008447848847452984,0.6520492748534388
local24,0.2045207298548706,0.010116724295113498,0.004433112471182496,0.7187967954477388
nsga2_typed,0.3279987887495554,0.03729289292195923,0.014838639996921804,0.4794947726795482
