task,kind,algorithm,auc,final_gap,igd,recall,seconds,extra_pure_proposals,neighbor_builds,neighbor_filter_checks,predictions,overrides
job_new1,job,fast_h0,0.10202059637303566,0.0,0.0,1.0,3.113365367666669,44238.166666666664,0.0,0.0,4130.75,17.75
job_new1,job,fast_v10,0.11518766370109666,0.0,0.0,1.0,2.837181113750006,0.0,0.0,0.0,0.0,0.0
job_new1,job,h0,0.10202059637303566,0.0,0.0,1.0,6.553692826833299,44238.166666666664,0.0,0.0,4130.75,17.75
job_new1,job,local24,0.09721599070340765,0.0,0.0,1.0,1.7194165749999684,0.0,29.75,25592.25,7982.5,22.083333333333332
job_new1,job,local24_random,0.11608123315574741,0.0,0.0,1.0,1.0270224080000314,0.0,33.916666666666664,25018.916666666668,0.0,383.6666666666667
job_new1,job,nsga2_typed,0.1595913427008915,0.0004989321966586416,0.00024956640160623335,0.9874999999999999,2.469551057833295,0.0,0.0,0.0,0.0,0.0
job_new1,job,nsga_local24,0.12509139997385232,4.078887704503333e-05,1.6471375e-05,0.9916666666666667,2.2115992261666975,0.0,71.58333333333333,24210.583333333332,9277.5,49.416666666666664
job_new1,job,refit32,0.09909690164734238,0.0,0.0,1.0,4.622944820499991,44095.833333333336,0.0,0.0,4184.416666666667,17.583333333333332
job_new2,job,fast_h0,0.1111549246025418,0.0004137873822082083,0.00013803234523809168,0.9702380952380953,2.793911558916657,32257.166666666668,0.0,0.0,5349.583333333333,45.25
job_new2,job,fast_v10,0.13103539268760925,0.003104757472254792,0.0015111607609093582,0.9136904761904763,2.0028052609166593,0.0,0.0,0.0,0.0,0.0
job_new2,job,h0,0.1111549246025418,0.0004137873822082083,0.00013803234523809168,0.9702380952380953,4.887902413249994,32257.166666666668,0.0,0.0,5349.583333333333,45.25
job_new2,job,local24,0.10251171768739371,0.000347395080078125,0.00014552642380951666,0.9761904761904763,2.071852717416666,0.0,44.333333333333336,30307.583333333332,11624.333333333334,44.25
job_new2,job,local24_random,0.1284197924738934,0.0021047888353987834,0.0012174045064398333,0.9226190476190476,0.8625026001667019,0.0,54.333333333333336,28656.75,0.0,493.6666666666667
job_new2,job,nsga2_typed,0.15537218769009759,0.0087925507737218,0.0050326638882795,0.7976190476190476,2.045628958416728,0.0,0.0,0.0,0.0,0.0
job_new2,job,nsga_local24,0.11863586895280559,0.0004939542891595083,0.00025126727470236665,0.9672619047619048,1.7465078504999572,0.0,80.83333333333333,29253.166666666668,11852.5,76.0
job_new2,job,refit32,0.10458761011167905,0.0008209047996592167,0.00037612567708331665,0.9583333333333334,4.093639326000054,32883.75,0.0,0.0,5296.083333333333,42.166666666666664
