task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
job_new1,job,local24_random,74509,1024,1024,1024,1.445371586000192,0.09453446487071308,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,330,0,28,724,24730,0,0,972
tour_new3,tour,fast_h0,74503,1024,1024,1024,4.769296798000141,0.11756828327837762,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,20,45788,0,0,0,15,3956,943
tour_new4,tour,h0,74511,1024,1024,1024,7.0191446429998905,0.07374984005068971,0.00234175124012658,0.0007172928645161291,0.8709677419354839,False,27,31,0.00234175124012658,0.0023417512399987995,0.0007172928652198661,33,45121,0,0,0,15,4286,958
job_new4,job,local24_random,74512,1024,1024,1024,0.9539863029999651,0.14323857795939163,0.0,0.0,1.0,True,24,24,0.0,0.0,0.0,419,0,52,714,25444,0,0,967
tour_new3,tour,fast_h0,74506,1024,1024,1024,4.934493878000012,0.11537891460502972,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,22,44828,0,0,0,15,4135,941
tour_new4,tour,nsga2_typed,74505,1024,1024,1024,3.0351282079998327,0.11639860527019763,0.004985016222076831,0.0017923621290322578,0.8387096774193549,False,26,31,0.004985016222076831,0.004985016219330748,0.0017923621285966763,0,0,0,0,0,0,0,966
tour_new4,tour,h0,74509,1024,1024,1024,6.455290989000105,0.07442371623383288,0.0,0.0,1.0,True,31,31,0.0,0.0,0.0,34,38334,0,0,0,15,4744,984
tour_new3,tour,nsga_local24,74501,1024,1024,1024,1.6936015440001029,0.1270895968643922,3.934046628374784e-06,4.5532010526313915e-05,0.9473684210526315,False,18,19,3.934046628374784e-06,3.934046652261035e-06,4.5532010829217816e-05,49,0,80,698,27191,15,9869,965
tour_new3,tour,local24,74507,1024,1024,1024,3.3437922969999363,0.08411773146679559,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,21,0,33,736,28849,15,8548,969
rgv_new3,rgv,local24_random,74503,1024,1024,1024,1.1928031620000183,0.1145733662925423,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,463,0,52,705,37349,0,0,999
